=== TEST tickets 30:20:10 samples=30 interval=10 ===
time,ticksA,ticksB,ticksC
0,47,32,17
1,55,32,19
2,75,47,22
3,80,58,25
4,117,75,36
5,136,85,41
6,169,101,49
7,192,108,53
8,195,114,55
9,203,117,58
10,209,122,60
11,248,139,73
12,299,181,88
13,317,191,95
14,322,201,98
15,326,208,102
16,333,213,105
17,347,217,109
18,363,228,114
19,388,252,128
20,405,260,133
21,416,267,134
22,432,273,139
23,533,328,172
24,553,344,176
25,564,347,177
26,607,377,189
27,623,385,194
28,634,393,195
29,692,435,214
=== TEST tickets 60:40:20 samples=30 interval=10 ===
time,ticksA,ticksB,ticksC
0,16,14,8
1,189,131,78
2,262,177,98
3,326,237,129
4,373,278,150
5,566,393,220
6,597,407,230
7,792,523,284
8,1019,673,364
9,1040,692,369
10,1136,748,391
11,1146,758,397
12,1184,787,407
13,1218,815,417
14,1298,875,445
15,1356,907,468
16,1372,909,470
17,1377,913,474
18,1470,984,510
19,1483,1002,514
20,1585,1082,536
21,1594,1089,539
22,1820,1267,628
23,1842,1280,644
24,1957,1350,682
25,2017,1376,695
26,2082,1425,720
27,2176,1498,753
28,2365,1626,811
29,2473,1698,841
=== TEST tickets 60:30:10 samples=30 interval=10 ===
time,ticksA,ticksB,ticksC
0,16,0,3
1,124,24,22
2,137,31,23
3,190,65,38
4,200,69,42
5,257,92,51
6,270,97,51
7,277,99,52
8,353,140,68
9,364,153,72
10,500,214,95
11,556,243,106
12,564,251,108
13,629,281,115
14,633,285,117
15,714,331,131
16,746,348,136
17,765,358,141
18,832,398,152
19,903,434,160
20,1005,481,173
21,1019,489,176
22,1025,494,176
23,1211,565,209
24,1222,575,210
25,1358,645,235
26,1403,671,247
27,1422,686,255
28,1581,769,276
29,1600,784,282
=== TEST tickets 20:20:20 samples=30 interval=10 ===
time,ticksA,ticksB,ticksC
0,6,14,6
1,13,23,10
2,23,29,20
3,67,74,59
4,82,85,71
5,98,100,84
6,103,113,92
7,110,117,97
8,121,122,106
9,174,162,149
10,179,166,156
11,195,176,169
12,209,191,182
13,214,198,192
14,226,209,199
15,259,242,231
16,279,267,251
17,286,276,259
18,315,297,291
19,355,352,348
20,366,364,358
21,409,417,404
22,413,420,407
23,471,482,454
24,495,507,475
25,531,551,506
26,535,555,509
27,544,574,518
28,614,643,595
29,619,649,599
=== TEST tickets 90:5:5 samples=30 interval=10 ===
time,ticksA,ticksB,ticksC
0,48,11,7
1,61,12,8
2,96,14,9
3,118,18,10
4,197,26,11
5,325,33,19
6,434,39,27
7,570,44,32
8,877,63,45
9,990,69,51
10,1039,70,54
11,1083,71,56
12,1120,72,59
13,1215,79,65
14,1465,95,86
15,1514,98,91
16,1644,102,98
17,1690,106,101
18,1834,112,111
19,1849,113,114
20,2103,121,127
21,2135,126,130
22,2155,126,132
23,2298,140,138
24,2347,145,142
25,2431,152,145
26,2536,154,149
27,2652,161,155
28,2815,174,161
29,2940,185,162
=== TEST tickets 45:30:15 samples=30 interval=10 ===
time,ticksA,ticksB,ticksC
0,55,0,21
1,139,57,49
2,252,127,99
3,257,133,99
4,443,232,157
5,504,281,170
6,556,309,189
7,600,349,203
8,677,421,227
9,682,426,230
10,734,463,256
11,788,502,283
12,799,507,288
13,883,559,321
14,956,592,348
15,1093,670,392
16,1105,675,399
17,1122,687,411
18,1146,699,415
19,1156,709,419
20,1166,714,420
21,1204,737,431
22,1369,853,492
23,1440,909,517
24,1475,951,533
25,1502,969,536
26,1606,1035,558
27,1639,1060,575
28,1666,1084,591
29,1731,1127,612
